The power Details of router and TSV links ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.000346036+0.00141479,0.0284677,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.000387802+0.00141479,0.0285094,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.000352113+0.00141479,0.0284737,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.000474512+0.00141479,0.0285961,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		6175 ( Header: 1239 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 6000,,,,,,,,,,,,,,,,,,,,,,,
 ,6000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.000602716+0.000848877,0.0281584,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.000685645+0.000848877,0.0282413,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.000688204+0.000848877,0.0282439,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.000587861+0.000848876,0.0281436,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.000736503+0.00141479,0.0288581,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.000647017+0.00141479,0.0287686,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.00069188+0.00141479,0.0288135,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.000884716+0.00141479,0.0290063,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.000733279+0.00141479,0.0288549,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.000675679+0.00141479,0.0287973,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.000735673+0.00141479,0.0288573,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.000646937+0.00141479,0.0287686,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.000397792+0.00141479,0.0285194,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.000414133+0.00141479,0.0285358,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.000459677+0.00141479,0.0285813,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.000380882+0.00141479,0.0285025,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.000482762+0.00141479,0.0286044,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.000472489+0.00141479,0.0285941,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.000378554+0.00141479,0.0285002,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.000370378+0.00141479,0.028492,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.000392+0.00141479,0.0285136,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.000448633+0.00141479,0.0285703,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.000389132+0.00141479,0.0285107,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.000380947+0.00141479,0.0285026,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.000400734+0.00141479,0.0285224,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.000381496+0.00141479,0.0285031,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.000443251+0.00141479,0.0285649,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		7415 ( Header: 1486 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
