Router-0=0.033318+0.00153499=0.034853
Router-1=0.033318+0.00250715=0.0358252
Router-2=0.033318+0.00272216=0.0360402
Router-3=0.033318+0.00198936=0.0353074
Router-4=0.033318+0.00176061=0.0350787
Router-5=0.033318+0.00310833=0.0364264
Router-6=0.033318+0.0036377=0.0369557
Router-7=0.033318+0.00335753=0.0366756
Router-8=0.033318+0.00235965=0.0356777
Router-9=0.033318+0.00373046=0.0370485
Router-10=0.033318+0.00403074=0.0373488
Router-11=0.033318+0.00329895=0.036617
Router-12=0.033318+0.00310391=0.036422
Router-13=0.033318+0.00393249=0.0372505
Router-14=0.033318+0.00389131=0.0372094
Router-15=0.033318+0.00404091=0.037359
Router-16=0.033318+0.00313235=0.0364504
Router-17=0.033318+0.00434572=0.0376638
Router-18=0.033318+0.0046162=0.0379342
Router-19=0.033318+0.00377774=0.0370958
Router-20=0.033318+0.00291295=0.036231
Router-21=0.033318+0.00440088=0.0377189
Router-22=0.033318+0.00408289=0.0374009
Router-23=0.033318+0.00356938=0.0368874
Router-24=0.033318+0.00202411=0.0353422
Router-25=0.033318+0.00338425=0.0367023
Router-26=0.033318+0.00271236=0.0360304
Router-27=0.033318+0.00289705=0.0362151
Router-28=0.033318+0.00163772=0.0349558
Router-29=0.033318+0.00226415=0.0355822
Router-30=0.033318+0.00227097=0.035589
Router-31=0.033318+0.00176748=0.0350855
Router-32=0.033318+0.00223588=0.0355539
Router-33=0.033318+0.0020414=0.0353594
Router-34=0.033318+0.00225013=0.0355682
Router-35=0.033318+0.00169232=0.0350104
Router-36=0.033318+0.00308208=0.0364001
Router-37=0.033318+0.00283935=0.0361574
Router-38=0.033318+0.0033301=0.0366481
Router-39=0.033318+0.00275584=0.0360739
Router-40=0.033318+0.00316572=0.0364838
Router-41=0.033318+0.00329349=0.0366115
Router-42=0.033318+0.00438328=0.0377013
Router-43=0.033318+0.00298465=0.0363027
Router-44=0.033318+0.00358957=0.0369076
Router-45=0.033318+0.00361663=0.0369347
Router-46=0.033318+0.00413659=0.0374546
Router-47=0.033318+0.00335043=0.0366685
Router-48=0.033318+0.00338386=0.0367019
Router-49=0.033318+0.00348785=0.0368059
Router-50=0.033318+0.00434209=0.0376601
Router-51=0.033318+0.00372956=0.0370476
Router-52=0.033318+0.00298122=0.0362993
Router-53=0.033318+0.00342406=0.0367421
Router-54=0.033318+0.00322974=0.0365478
Router-55=0.033318+0.00327148=0.0365895
Router-56=0.033318+0.00256119=0.0358792
Router-57=0.033318+0.00355192=0.03687
Router-58=0.033318+0.00285159=0.0361696
Router-59=0.033318+0.00260831=0.0359264
Router-60=0.033318+0.00197551=0.0352936
Router-61=0.033318+0.00208688=0.0354049
Router-62=0.033318+0.00235928=0.0356773
Router-63=0.033318+0.00198255=0.0353006
Router-0=0.033318+0.00188189=0.0351999
Router-1=0.033318+0.00249855=0.0358166
Router-2=0.033318+0.00234276=0.0356608
Router-3=0.033318+0.00190408=0.0352221
Router-4=0.033318+0.00246182=0.0357799
Router-5=0.033318+0.00328108=0.0365991
Router-6=0.033318+0.00320741=0.0365255
Router-7=0.033318+0.00291848=0.0362365
Router-8=0.033318+0.00316833=0.0364864
Router-9=0.033318+0.00398827=0.0373063
Router-10=0.033318+0.00375941=0.0370775
Router-11=0.033318+0.00331257=0.0366306
Router-12=0.033318+0.00364557=0.0369636
Router-13=0.033318+0.00425543=0.0375735
Router-14=0.033318+0.00411368=0.0374317
Router-15=0.033318+0.00391617=0.0372342
Router-16=0.033318+0.00382129=0.0371393
Router-17=0.033318+0.00479019=0.0381082
Router-18=0.033318+0.00437322=0.0376913
Router-19=0.033318+0.00351784=0.0368359
Router-20=0.033318+0.00341658=0.0367346
Router-21=0.033318+0.00441636=0.0377344
Router-22=0.033318+0.00359933=0.0369174
Router-23=0.033318+0.00328158=0.0365996
