The power Details of router and TSV links ,,,
,,,
	 ,,,
 	 at 4000,,,
  	 ,,,
power time ,,,
Router-21,0.0267068+0.00160044+0.00141479,0.0297221,29.7221
Router-22,0.0267068+0.0015472+0.00141479,0.0296688,29.6688
Router-23,0.0267068+0.00155681+0.00141479,0.0296784,29.6784
Router-24,0.0267068+0.00161567+0.00141479,0.0297373,29.7373
Router-25,0.0267068+0.00166522+0.00141479,0.0297868,29.7868
Router-26,0.0267068+0.00164662+0.00141479,0.0297682,29.7682
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		19175 ( Header: 3837 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.00188462+0.000848881,0.0294403,29.4403
Router-1,0.0267068+0.00188022+0.000848882,0.0294359,29.4359
Router-2,0.0267068+0.00186955+0.000848882,0.0294253,29.4253
Router-3,0.0267068+0.00187544+0.000848881,0.0294311,29.4311
Router-4,0.0267068+0.0023108+0.0014148,0.0304324,30.4324
Router-5,0.0267068+0.00204294+0.0014148,0.0301646,30.1646
Router-6,0.0267068+0.00192619+0.0014148,0.0300478,30.0478
Router-7,0.0267068+0.00233514+0.0014148,0.0304568,30.4568
Router-8,0.0267068+0.00222446+0.0014148,0.0303461,30.3461
Router-9,0.0267068+0.00200163+0.0014148,0.0301233,30.1233
Router-10,0.0267068+0.00207063+0.0014148,0.0301923,30.1923
Router-11,0.0267068+0.00214095+0.0014148,0.0302626,30.2626
Router-12,0.0267068+0.0013147+0.00141479,0.0294363,29.4363
Router-13,0.0267068+0.00124018+0.00141479,0.0293618,29.3618
Router-14,0.0267068+0.00125599+0.00141479,0.0293776,29.3776
Router-15,0.0267068+0.00131065+0.00141479,0.0294323,29.4323
Router-16,0.0267068+0.00116553+0.00141479,0.0292872,29.2872
Router-17,0.0267068+0.00106511+0.00141479,0.0291867,29.1867
Router-18,0.0267068+0.00133867+0.00141479,0.0294603,29.4603
Router-19,0.0267068+0.00121707+0.00141479,0.0293387,29.3387
Router-20,0.0267068+0.00129969+0.00141479,0.0294213,29.4213
Router-21,0.0267068+0.0012519+0.00141479,0.0293735,29.3735
Router-22,0.0267068+0.00112954+0.00141479,0.0292512,29.2512
Router-23,0.0267068+0.00117261+0.00141479,0.0292942,29.2942
Router-24,0.0267068+0.00127275+0.00141479,0.0293944,29.3944
Router-25,0.0267068+0.00128954+0.00141479,0.0294112,29.4112
Router-26,0.0267068+0.00120392+0.00141479,0.0293255,29.3255
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		22050 ( Header: 4412 ),,,0
,,,0
	 ,,,0
 	 at 4000,,,0
  	 ,,,0
power time ,,,0
,4000,,0
Router-0,0.0267068+0.00386638+0.000848884,0.0314221,31.4221
Router-1,0.0267068+0.00400338+0.000848885,0.0315591,31.5591
Router-2,0.0267068+0.00399388+0.000848885,0.0315496,31.5496
Router-3,0.0267068+0.00382705+0.000848884,0.0313828,31.3828
Router-4,0.0267068+0.00473019+0.0014148,0.0328518,32.8518
Router-5,0.0267068+0.00442372+0.0014148,0.0325453,32.5453
Router-6,0.0267068+0.0039487+0.0014148,0.0320703,32.0703
Router-7,0.0267068+0.00472263+0.0014148,0.0328443,32.8443
Router-8,0.0267068+0.00471596+0.0014148,0.0328376,32.8376
Router-9,0.0267068+0.00414918+0.0014148,0.0322708,32.2708
Router-10,0.0267068+0.00438986+0.0014148,0.0325115,32.5115
Router-11,0.0267068+0.00443188+0.0014148,0.0325535,32.5535
Router-12,0.0267068+0.00277321+0.0014148,0.0308948,30.8948
Router-13,0.0267068+0.00252663+0.0014148,0.0306483,30.6483
Router-14,0.0267068+0.00271711+0.00141479,0.0308387,30.8387
Router-15,0.0267068+0.00272199+0.0014148,0.0308436,30.8436
Router-16,0.0267068+0.0025136+0.00141479,0.0306352,30.6352
Router-17,0.0267068+0.00220847+0.00141479,0.0303301,30.3301
Router-18,0.0267068+0.00269583+0.0014148,0.0308175,30.8175
Router-19,0.0267068+0.00245862+0.00141479,0.0305802,30.5802
Router-20,0.0267068+0.00260851+0.00141479,0.0307301,30.7301
Router-21,0.0267068+0.00262131+0.0014148,0.0307429,30.7429
Router-22,0.0267068+0.00248338+0.00141479,0.030605,30.605
Router-23,0.0267068+0.00246941+0.00141479,0.030591,30.591
Router-24,0.0267068+0.00265098+0.0014148,0.0307726,30.7726
Router-25,0.0267068+0.00274233+0.0014148,0.030864,30.864
Router-26,0.0267068+0.00259243+0.00141479,0.0307141,30.7141
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		30714 ( Header: 6146 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.00278306+0.000848884,0.0303388,30.3388
Router-1,0.0267068+0.00295761+0.000848886,0.0305133,30.5133
Router-2,0.0267068+0.0029096+0.000848886,0.0304653,30.4653
Router-3,0.0267068+0.00279535+0.000848885,0.0303511,30.3511
Router-4,0.0267068+0.00341457+0.0014148,0.0315362,31.5362
Router-5,0.0267068+0.00327256+0.0014148,0.0313942,31.3942
Router-6,0.0267068+0.0028906+0.0014148,0.0310122,31.0122
Router-7,0.0267068+0.00340281+0.0014148,0.0315244,31.5244
Router-8,0.0267068+0.00338785+0.0014148,0.0315095,31.5095
Router-9,0.0267068+0.003064+0.0014148,0.0311856,31.1856
Router-10,0.0267068+0.00322058+0.0014148,0.0313422,31.3422
Router-11,0.0267068+0.00322329+0.0014148,0.0313449,31.3449
Router-12,0.0267068+0.00198558+0.0014148,0.0301072,30.1072
Router-13,0.0267068+0.0019393+0.0014148,0.0300609,30.0609
Router-14,0.0267068+0.0019759+0.0014148,0.0300975,30.0975
Router-15,0.0267068+0.00190273+0.0014148,0.0300244,30.0244
Router-16,0.0267068+0.00185633+0.0014148,0.029978,29.978
Router-17,0.0267068+0.00158899+0.00141479,0.0297106,29.7106
Router-18,0.0267068+0.00195298+0.0014148,0.0300746,30.0746
Router-19,0.0267068+0.00175697+0.0014148,0.0298786,29.8786
Router-20,0.0267068+0.00186558+0.0014148,0.0299872,29.9872
Router-21,0.0267068+0.00194849+0.0014148,0.0300701,30.0701
Router-22,0.0267068+0.00183118+0.00141479,0.0299528,29.9528
Router-23,0.0267068+0.00181369+0.00141479,0.0299353,29.9353
Router-24,0.0267068+0.00201458+0.0014148,0.0301362,30.1362
Router-25,0.0267068+0.00194605+0.0014148,0.0300677,30.0677
Router-26,0.0267068+0.00188461+0.0014148,0.0300062,30.0062
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		33573 ( Header: 6717 ),,,0
,,,0
	 ,,,0
 	 at 4000,,,0
  	 ,,,0
power time ,,,0
,4000,,0
Router-0,0.0267068+0.00540921+0.000848888,0.0329649,32.9649
Router-1,0.0267068+0.0058594+0.00084889,0.0334151,33.4151
Router-2,0.0267068+0.00582224+0.00084889,0.033378,33.378
Router-3,0.0267068+0.00537984+0.000848888,0.0329356,32.9356
Router-4,0.0267068+0.00666698+0.0014148,0.0347886,34.7886
Router-5,0.0267068+0.00639396+0.0014148,0.0345156,34.5156
Router-6,0.0267068+0.00575178+0.0014148,0.0338734,33.8734
Router-7,0.0267068+0.00667118+0.0014148,0.0347928,34.7928
Router-8,0.0267068+0.00667344+0.0014148,0.0347951,34.7951
Router-9,0.0267068+0.00600603+0.0014148,0.0341277,34.1277
Router-10,0.0267068+0.00624146+0.0014148,0.0343631,34.3631
Router-11,0.0267068+0.0062958+0.0014148,0.0344174,34.4174
Router-12,0.0267068+0.003712+0.0014148,0.0318336,31.8336
Router-13,0.0267068+0.00365569+0.0014148,0.0317773,31.7773
Router-14,0.0267068+0.0039736+0.0014148,0.0320952,32.0952
Router-15,0.0267068+0.00386564+0.0014148,0.0319873,31.9873
Router-16,0.0267068+0.00373312+0.0014148,0.0318547,31.8547
Router-17,0.0267068+0.00314653+0.0014148,0.0312682,31.2682
Router-18,0.0267068+0.003905+0.0014148,0.0320266,32.0266
Router-19,0.0267068+0.00340441+0.0014148,0.031526,31.526
Router-20,0.0267068+0.00370301+0.0014148,0.0318246,31.8246
Router-21,0.0267068+0.00367297+0.0014148,0.0317946,31.7946
Router-22,0.0267068+0.00360958+0.0014148,0.0317312,31.7312
Router-23,0.0267068+0.00362938+0.0014148,0.031751,31.751
Router-24,0.0267068+0.00368943+0.0014148,0.0318111,31.8111
Router-25,0.0267068+0.00371622+0.0014148,0.0318378,31.8378
Router-26,0.0267068+0.00343499+0.0014148,0.0315566,31.5566
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		43726 ( Header: 8748 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.00382034+0.000848889,0.0313761,31.3761
Router-1,0.0267068+0.00416951+0.000848891,0.0317252,31.7252
Router-2,0.0267068+0.00412667+0.000848891,0.0316824,31.6824
Router-3,0.0267068+0.0038401+0.000848889,0.0313958,31.3958
Router-4,0.0267068+0.00474854+0.00141481,0.0328702,32.8702
Router-5,0.0267068+0.00453079+0.0014148,0.0326524,32.6524
Router-6,0.0267068+0.00404922+0.0014148,0.0321709,32.1709
Router-7,0.0267068+0.00472948+0.0014148,0.0328511,32.8511
Router-8,0.0267068+0.00470684+0.0014148,0.0328285,32.8285
Router-9,0.0267068+0.00429008+0.0014148,0.0324117,32.4117
Router-10,0.0267068+0.00445186+0.0014148,0.0325735,32.5735
Router-11,0.0267068+0.00446351+0.0014148,0.0325851,32.5851
Router-12,0.0267068+0.00267512+0.0014148,0.0307967,30.7967
Router-13,0.0267068+0.00254505+0.0014148,0.0306667,30.6667
Router-14,0.0267068+0.0028072+0.0014148,0.0309288,30.9288
Router-15,0.0267068+0.00277022+0.0014148,0.0308918,30.8918
Router-16,0.0267068+0.00266375+0.0014148,0.0307854,30.7854
Router-17,0.0267068+0.00222434+0.0014148,0.030346,30.346
Router-18,0.0267068+0.00270074+0.0014148,0.0308224,30.8224
Router-19,0.0267068+0.00242304+0.0014148,0.0305447,30.5447
Router-20,0.0267068+0.00265301+0.0014148,0.0307746,30.7746
Router-21,0.0267068+0.00264542+0.0014148,0.030767,30.767
Router-22,0.0267068+0.00249329+0.0014148,0.0306149,30.6149
Router-23,0.0267068+0.00254697+0.0014148,0.0306686,30.6686
Router-24,0.0267068+0.00259238+0.0014148,0.030714,30.714
Router-25,0.0267068+0.00264373+0.0014148,0.0307654,30.7654
Router-26,0.0267068+0.00246129+0.0014148,0.0305829,30.5829
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		46494 ( Header: 9302 ),,,0
,,,0
	 ,,,0
 	 at 4000,,,0
  	 ,,,0
power time ,,,0
,4000,,0
Router-0,0.0267068+0.00716281+0.000848892,0.0347185,34.7185
Router-1,0.0267068+0.00711462+0.000848893,0.0346703,34.6703
Router-2,0.0267068+0.00710926+0.000848894,0.034665,34.665
Router-3,0.0267068+0.00714105+0.000848892,0.0346968,34.6968
Router-4,0.0267068+0.00856269+0.00141481,0.0366843,36.6843
Router-5,0.0267068+0.00804458+0.00141481,0.0361662,36.1662
Router-6,0.0267068+0.00728677+0.0014148,0.0354084,35.4084
Router-7,0.0267068+0.00847154+0.00141481,0.0365932,36.5932
Router-8,0.0267068+0.00836585+0.00141481,0.0364875,36.4875
Router-9,0.0267068+0.007565+0.0014148,0.0356866,35.6866
Router-10,0.0267068+0.00798365+0.00141481,0.0361053,36.1053
Router-11,0.0267068+0.0080589+0.00141481,0.0361805,36.1805
Router-12,0.0267068+0.00477344+0.0014148,0.0328951,32.8951
Router-13,0.0267068+0.00442833+0.0014148,0.03255,32.55
Router-14,0.0267068+0.00497281+0.0014148,0.0330944,33.0944
Router-15,0.0267068+0.00504097+0.0014148,0.0331626,33.1626
Router-16,0.0267068+0.00473942+0.0014148,0.032861,32.861
Router-17,0.0267068+0.00403373+0.0014148,0.0321554,32.1554
Router-18,0.0267068+0.00483942+0.0014148,0.032961,32.961
Router-19,0.0267068+0.00442129+0.0014148,0.0325429,32.5429
